"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"780",501625,"Jose Alvarez","780","100.00","0.263","0.163","0.312","0.426","0.318","0.308","0.249","50","190","80.9","16.4","2253","86.8","87.00","91","384","376","0.2","6.49","110","150","110","149","301","323","299"
"774",622766,"Miguel Diaz","774","100.00","0.275","0.275","0.280","0.550","0.391","0.346","0.233","44","160","82.3","17.3","2246","91.9","90.26","72","334","435","-1.6","5.42","106","150","116","145","300","316","298"
"773",472551,"Fernando Abad","773","100.00","0.242","0.127","0.286","0.370","0.297","0.287","0.225","40","165","80.5","17.6","2154","84.7","83.48","58","318","449","-1.2","5.54","111","150","116","146","284","323","290"
"772",430599,"Joe Blanton","772","100.00","0.296","0.240","0.328","0.536","0.375","0.315","0.256","53","179","80.6","19.9","2209","86.8","85.91","107","379","385","-0.9","5.75","110","150","115","147","293","309","292"
"772",656186,"Dan Altavilla","772","100.00","0.242","0.208","0.281","0.449","0.329","0.326","0.230","43","178","83.3","21.4","2483","93.4","91.98","106","359","408","-1.4","5.55","110","150","110","145","291","315","293"
"769",594840,"Matt Grace","769","100.00","0.266","0.101","0.299","0.367","0.309","0.307","0.238","50","188","80.2","4.6","1778","88.7","88.02","59","350","396","-0.7","5.89","111","150","113","146","292","309","292"
"769",592135,"Cam Bedrosian","769","100.00","0.240","0.158","0.316","0.398","0.308","0.290","0.226","41","171","83.9","18.2","2454","89.8","89.65","103","342","422","-0.2","6.13","111","150","108","149","301","323","299"
"767",625643,"Reynaldo Lopez","767","100.00","0.258","0.174","0.271","0.432","0.321","0.320","0.258","49","190","81.5","24.5","1969","89.6","89.44","71","383","383","-0.2","6.22","110","151","115","147","298","305","290"
"765",592612,"Josh Osich","765","100.00","0.279","0.180","0.336","0.459","0.368","0.355","0.261","48","172","82.2","16.0","2215","89.4","88.27","76","348","410","-1.1","5.61","110","147","111","148","293","312","296"
"757",621295,"Nick Wittgren","757","100.00","0.277","0.199","0.339","0.476","0.342","0.323","0.252","46","166","82.5","19.9","2155","90.2","90.53","92","353","398","0.3","6.60","108","152","112","148","295","321","295"
